comune,area,regione,sigla
Castagnole Piemonte,Nord-ovest,Piemonte,TO
Castellamonte,Nord-ovest,Piemonte,TO
Castelnuovo Nigra,Nord-ovest,Piemonte,TO
Castiglione Torinese,Nord-ovest,Piemonte,TO
Cavagnolo,Nord-ovest,Piemonte,TO
Cavour,Nord-ovest,Piemonte,TO
Cercenasco,Nord-ovest,Piemonte,TO
Ceres,Nord-ovest,Piemonte,TO
Ceresole Reale,Nord-ovest,Piemonte,TO
Cesana Torinese,Nord-ovest,Piemonte,TO
Chialamberto,Nord-ovest,Piemonte,TO
Chianocco,Nord-ovest,Piemonte,TO
Chiaverano,Nord-ovest,Piemonte,TO
Chieri,Nord-ovest,Piemonte,TO
Chiesanuova,Nord-ovest,Piemonte,TO
Chiomonte,Nord-ovest,Piemonte,TO
Chiusa di San Michele,Nord-ovest,Piemonte,TO
Chivasso,Nord-ovest,Piemonte,TO
Ciconio,Nord-ovest,Piemonte,TO
Cintano,Nord-ovest,Piemonte,TO
Cinzano,Nord-ovest,Piemonte,TO
Ciriè,Nord-ovest,Piemonte,TO
Claviere,Nord-ovest,Piemonte,TO
Coassolo Torinese,Nord-ovest,Piemonte,TO
Coazze,Nord-ovest,Piemonte,TO
Collegno,Nord-ovest,Piemonte,TO
Colleretto Castelnuovo,Nord-ovest,Piemonte,TO
Colleretto Giacosa,Nord-ovest,Piemonte,TO
Condove,Nord-ovest,Piemonte,TO
Corio,Nord-ovest,Piemonte,TO
Cossano Canavese,Nord-ovest,Piemonte,TO
Cuceglio,Nord-ovest,Piemonte,TO
Cumiana,Nord-ovest,Piemonte,TO
Cuorgnè,Nord-ovest,Piemonte,TO
Druento,Nord-ovest,Piemonte,TO
Exilles,Nord-ovest,Piemonte,TO
Favria,Nord-ovest,Piemonte,TO
Feletto,Nord-ovest,Piemonte,TO
Fenestrelle,Nord-ovest,Piemonte,TO
Fiano,Nord-ovest,Piemonte,TO
Fiorano Canavese,Nord-ovest,Piemonte,TO
Foglizzo,Nord-ovest,Piemonte,TO
Forno Canavese,Nord-ovest,Piemonte,TO
Frassinetto,Nord-ovest,Piemonte,TO
Front,Nord-ovest,Piemonte,TO
Frossasco,Nord-ovest,Piemonte,TO
Garzigliana,Nord-ovest,Piemonte,TO
Gassino Torinese,Nord-ovest,Piemonte,TO
Germagnano,Nord-ovest,Piemonte,TO
Giaglione,Nord-ovest,Piemonte,TO
Giaveno,Nord-ovest,Piemonte,TO
Givoletto,Nord-ovest,Piemonte,TO
Gravere,Nord-ovest,Piemonte,TO
Groscavallo,Nord-ovest,Piemonte,TO
Grosso,Nord-ovest,Piemonte,TO
Grugliasco,Nord-ovest,Piemonte,TO
Ingria,Nord-ovest,Piemonte,TO
Inverso Pinasca,Nord-ovest,Piemonte,TO
Isolabella,Nord-ovest,Piemonte,TO
Issiglio,Nord-ovest,Piemonte,TO
Ivrea,Nord-ovest,Piemonte,TO
La Cassa,Nord-ovest,Piemonte,TO
La Loggia,Nord-ovest,Piemonte,TO
Lanzo Torinese,Nord-ovest,Piemonte,TO
Lauriano,Nord-ovest,Piemonte,TO
Leini,Nord-ovest,Piemonte,TO
Lemie,Nord-ovest,Piemonte,TO
Lessolo,Nord-ovest,Piemonte,TO
Levone,Nord-ovest,Piemonte,TO
Locana,Nord-ovest,Piemonte,TO
Lombardore,Nord-ovest,Piemonte,TO
Lombriasco,Nord-ovest,Piemonte,TO
Loranzè,Nord-ovest,Piemonte,TO
Luserna San Giovanni,Nord-ovest,Piemonte,TO
Lusernetta,Nord-ovest,Piemonte,TO
Lusigliè,Nord-ovest,Piemonte,TO
Macello,Nord-ovest,Piemonte,TO
Maglione,Nord-ovest,Piemonte,TO
Marentino,Nord-ovest,Piemonte,TO
Massello,Nord-ovest,Piemonte,TO
Mathi,Nord-ovest,Piemonte,TO
Mattie,Nord-ovest,Piemonte,TO
Mazzè,Nord-ovest,Piemonte,TO
Meana di Susa,Nord-ovest,Piemonte,TO
Mercenasco,Nord-ovest,Piemonte,TO
Mezzenile,Nord-ovest,Piemonte,TO
Mombello di Torino,Nord-ovest,Piemonte,TO
Mompantero,Nord-ovest,Piemonte,TO
Monastero di Lanzo,Nord-ovest,Piemonte,TO
Moncalieri,Nord-ovest,Piemonte,TO
Moncenisio,Nord-ovest,Piemonte,TO
Montaldo Torinese,Nord-ovest,Piemonte,TO
Montalenghe,Nord-ovest,Piemonte,TO
Montalto Dora,Nord-ovest,Piemonte,TO
Montanaro,Nord-ovest,Piemonte,TO
Monteu da Po,Nord-ovest,Piemonte,TO
Moriondo Torinese,Nord-ovest,Piemonte,TO
Nichelino,Nord-ovest,Piemonte,TO
Noasca,Nord-ovest,Piemonte,TO
Nole,Nord-ovest,Piemonte,TO
Nomaglio,Nord-ovest,Piemonte,TO
None,Nord-ovest,Piemonte,TO
Novalesa,Nord-ovest,Piemonte,TO
Oglianico,Nord-ovest,Piemonte,TO
Orbassano,Nord-ovest,Piemonte,TO
Orio Canavese,Nord-ovest,Piemonte,TO
Osasco,Nord-ovest,Piemonte,TO
Osasio,Nord-ovest,Piemonte,TO
Oulx,Nord-ovest,Piemonte,TO
Ozegna,Nord-ovest,Piemonte,TO
Palazzo Canavese,Nord-ovest,Piemonte,TO
Pancalieri,Nord-ovest,Piemonte,TO
Parella,Nord-ovest,Piemonte,TO
Pavarolo,Nord-ovest,Piemonte,TO
Pavone Canavese,Nord-ovest,Piemonte,TO
Pecetto Torinese,Nord-ovest,Piemonte,TO
Perosa Argentina,Nord-ovest,Piemonte,TO
Perosa Canavese,Nord-ovest,Piemonte,TO
Perrero,Nord-ovest,Piemonte,TO
Pertusio,Nord-ovest,Piemonte,TO
Pessinetto,Nord-ovest,Piemonte,TO
Pianezza,Nord-ovest,Piemonte,TO
Pinasca,Nord-ovest,Piemonte,TO
Pinerolo,Nord-ovest,Piemonte,TO
Pino Torinese,Nord-ovest,Piemonte,TO
Piobesi Torinese,Nord-ovest,Piemonte,TO
Piossasco,Nord-ovest,Piemonte,TO
Piscina,Nord-ovest,Piemonte,TO
Piverone,Nord-ovest,Piemonte,TO
Poirino,Nord-ovest,Piemonte,TO
Pomaretto,Nord-ovest,Piemonte,TO
Pont-Canavese,Nord-ovest,Piemonte,TO
Porte,Nord-ovest,Piemonte,TO
Pragelato,Nord-ovest,Piemonte,TO
Prali,Nord-ovest,Piemonte,TO
Pralormo,Nord-ovest,Piemonte,TO
Pramollo,Nord-ovest,Piemonte,TO
Prarostino,Nord-ovest,Piemonte,TO
Prascorsano,Nord-ovest,Piemonte,TO
Pratiglione,Nord-ovest,Piemonte,TO
Quagliuzzo,Nord-ovest,Piemonte,TO
Quassolo,Nord-ovest,Piemonte,TO
Quincinetto,Nord-ovest,Piemonte,TO
Reano,Nord-ovest,Piemonte,TO
Ribordone,Nord-ovest,Piemonte,TO
Rivalba,Nord-ovest,Piemonte,TO
Rivalta di Torino,Nord-ovest,Piemonte,TO
Riva presso Chieri,Nord-ovest,Piemonte,TO
Rivara,Nord-ovest,Piemonte,TO
Rivarolo Canavese,Nord-ovest,Piemonte,TO
Rivarossa,Nord-ovest,Piemonte,TO
Rivoli,Nord-ovest,Piemonte,TO
Robassomero,Nord-ovest,Piemonte,TO
Rocca Canavese,Nord-ovest,Piemonte,TO
Roletto,Nord-ovest,Piemonte,TO
Romano Canavese,Nord-ovest,Piemonte,TO
Ronco Canavese,Nord-ovest,Piemonte,TO
Rondissone,Nord-ovest,Piemonte,TO
Rorà,Nord-ovest,Piemonte,TO
Roure,Nord-ovest,Piemonte,TO
Rosta,Nord-ovest,Piemonte,TO
Rubiana,Nord-ovest,Piemonte,TO
Rueglio,Nord-ovest,Piemonte,TO
Salassa,Nord-ovest,Piemonte,TO
Salbertrand,Nord-ovest,Piemonte,TO
Salerano Canavese,Nord-ovest,Piemonte,TO
Salza di Pinerolo,Nord-ovest,Piemonte,TO
Samone,Nord-ovest,Piemonte,TO
San Benigno Canavese,Nord-ovest,Piemonte,TO
San Carlo Canavese,Nord-ovest,Piemonte,TO
San Colombano Belmonte,Nord-ovest,Piemonte,TO
San Didero,Nord-ovest,Piemonte,TO
San Francesco al Campo,Nord-ovest,Piemonte,TO
Sangano,Nord-ovest,Piemonte,TO
San Germano Chisone,Nord-ovest,Piemonte,TO
San Gillio,Nord-ovest,Piemonte,TO
San Giorgio Canavese,Nord-ovest,Piemonte,TO
San Giorio di Susa,Nord-ovest,Piemonte,TO
San Giusto Canavese,Nord-ovest,Piemonte,TO
San Martino Canavese,Nord-ovest,Piemonte,TO
San Maurizio Canavese,Nord-ovest,Piemonte,TO
San Mauro Torinese,Nord-ovest,Piemonte,TO
San Pietro Val Lemina,Nord-ovest,Piemonte,TO
San Ponso,Nord-ovest,Piemonte,TO
San Raffaele Cimena,Nord-ovest,Piemonte,TO
San Sebastiano da Po,Nord-ovest,Piemonte,TO
San Secondo di Pinerolo,Nord-ovest,Piemonte,TO
Sant'Ambrogio di Torino,Nord-ovest,Piemonte,TO
Sant'Antonino di Susa,Nord-ovest,Piemonte,TO
Santena,Nord-ovest,Piemonte,TO
Sauze di Cesana,Nord-ovest,Piemonte,TO
Sauze d'Oulx,Nord-ovest,Piemonte,TO
Scalenghe,Nord-ovest,Piemonte,TO
Scarmagno,Nord-ovest,Piemonte,TO
Sciolze,Nord-ovest,Piemonte,TO
Sestriere,Nord-ovest,Piemonte,TO
Settimo Rottaro,Nord-ovest,Piemonte,TO
Settimo Torinese,Nord-ovest,Piemonte,TO
Settimo Vittone,Nord-ovest,Piemonte,TO
Sparone,Nord-ovest,Piemonte,TO
Strambinello,Nord-ovest,Piemonte,TO
Strambino,Nord-ovest,Piemonte,TO
Susa,Nord-ovest,Piemonte,TO
Tavagnasco,Nord-ovest,Piemonte,TO
Torino,Nord-ovest,Piemonte,TO
Torrazza Piemonte,Nord-ovest,Piemonte,TO
Torre Canavese,Nord-ovest,Piemonte,TO
Torre Pellice,Nord-ovest,Piemonte,TO
Trana,Nord-ovest,Piemonte,TO
Traversella,Nord-ovest,Piemonte,TO
Traves,Nord-ovest,Piemonte,TO
Trofarello,Nord-ovest,Piemonte,TO
Usseaux,Nord-ovest,Piemonte,TO
Usseglio,Nord-ovest,Piemonte,TO
Vaie,Nord-ovest,Piemonte,TO
Val della Torre,Nord-ovest,Piemonte,TO
Valgioie,Nord-ovest,Piemonte,TO
Vallo Torinese,Nord-ovest,Piemonte,TO
Valperga,Nord-ovest,Piemonte,TO
Valprato Soana,Nord-ovest,Piemonte,TO
Varisella,Nord-ovest,Piemonte,TO
Vauda Canavese,Nord-ovest,Piemonte,TO
Venaus,Nord-ovest,Piemonte,TO
Venaria Reale,Nord-ovest,Piemonte,TO
Verolengo,Nord-ovest,Piemonte,TO
Verrua Savoia,Nord-ovest,Piemonte,TO
Vestignè,Nord-ovest,Piemonte,TO
Vialfrè,Nord-ovest,Piemonte,TO
Vidracco,Nord-ovest,Piemonte,TO
Vigone,Nord-ovest,Piemonte,TO
Villafranca Piemonte,Nord-ovest,Piemonte,TO
Villanova Canavese,Nord-ovest,Piemonte,TO
Villarbasse,Nord-ovest,Piemonte,TO
Villar Dora,Nord-ovest,Piemonte,TO
Villareggia,Nord-ovest,Piemonte,TO
Villar Focchiardo,Nord-ovest,Piemonte,TO
Villar Pellice,Nord-ovest,Piemonte,TO
Villar Perosa,Nord-ovest,Piemonte,TO
Villastellone,Nord-ovest,Piemonte,TO
Vinovo,Nord-ovest,Piemonte,TO
Virle Piemonte,Nord-ovest,Piemonte,TO
Vische,Nord-ovest,Piemonte,TO
Vistrorio,Nord-ovest,Piemonte,TO
Viù,Nord-ovest,Piemonte,TO
Volpiano,Nord-ovest,Piemonte,TO
Volvera,Nord-ovest,Piemonte,TO
Mappano,Nord-ovest,Piemonte,TO
Val di Chy,Nord-ovest,Piemonte,TO
Valchiusa,Nord-ovest,Piemonte,TO
Alagna Valsesia,Nord-ovest,Piemonte,VC
Albano Vercellese,Nord-ovest,Piemonte,VC
Alice Castello,Nord-ovest,Piemonte,VC
Arborio,Nord-ovest,Piemonte,VC
Asigliano Vercellese,Nord-ovest,Piemonte,VC
Balmuccia,Nord-ovest,Piemonte,VC
Balocco,Nord-ovest,Piemonte,VC
Bianzè,Nord-ovest,Piemonte,VC
Boccioleto,Nord-ovest,Piemonte,VC
Borgo d'Ale,Nord-ovest,Piemonte,VC
Borgosesia,Nord-ovest,Piemonte,VC
Borgo Vercelli,Nord-ovest,Piemonte,VC
Buronzo,Nord-ovest,Piemonte,VC
Campertogno,Nord-ovest,Piemonte,VC
Carcoforo,Nord-ovest,Piemonte,VC
Caresana,Nord-ovest,Piemonte,VC
Caresanablot,Nord-ovest,Piemonte,VC
Carisio,Nord-ovest,Piemonte,VC
Casanova Elvo,Nord-ovest,Piemonte,VC
San Giacomo Vercellese,Nord-ovest,Piemonte,VC
Cervatto,Nord-ovest,Piemonte,VC
Cigliano,Nord-ovest,Piemonte,VC
Civiasco,Nord-ovest,Piemonte,VC
Collobiano,Nord-ovest,Piemonte,VC
Costanzana,Nord-ovest,Piemonte,VC
Cravagliana,Nord-ovest,Piemonte,VC
Crescentino,Nord-ovest,Piemonte,VC
Crova,Nord-ovest,Piemonte,VC
Desana,Nord-ovest,Piemonte,VC
Fobello,Nord-ovest,Piemonte,VC
Fontanetto Po,Nord-ovest,Piemonte,VC
Formigliana,Nord-ovest,Piemonte,VC
Gattinara,Nord-ovest,Piemonte,VC
Ghislarengo,Nord-ovest,Piemonte,VC
Greggio,Nord-ovest,Piemonte,VC
Guardabosone,Nord-ovest,Piemonte,VC
Lamporo,Nord-ovest,Piemonte,VC
Lenta,Nord-ovest,Piemonte,VC
Lignana,Nord-ovest,Piemonte,VC
Livorno Ferraris,Nord-ovest,Piemonte,VC
Lozzolo,Nord-ovest,Piemonte,VC
Mollia,Nord-ovest,Piemonte,VC
Moncrivello,Nord-ovest,Piemonte,VC
Motta de' Conti,Nord-ovest,Piemonte,VC
Olcenengo,Nord-ovest,Piemonte,VC
Oldenico,Nord-ovest,Piemonte,VC
Palazzolo Vercellese,Nord-ovest,Piemonte,VC
Pertengo,Nord-ovest,Piemonte,VC
Pezzana,Nord-ovest,Piemonte,VC
Pila,Nord-ovest,Piemonte,VC
Piode,Nord-ovest,Piemonte,VC
Postua,Nord-ovest,Piemonte,VC
Prarolo,Nord-ovest,Piemonte,VC
Quarona,Nord-ovest,Piemonte,VC
Quinto Vercellese,Nord-ovest,Piemonte,VC
Rassa,Nord-ovest,Piemonte,VC
Rimella,Nord-ovest,Piemonte,VC
Rive,Nord-ovest,Piemonte,VC
Roasio,Nord-ovest,Piemonte,VC
Ronsecco,Nord-ovest,Piemonte,VC
Rossa,Nord-ovest,Piemonte,VC
Rovasenda,Nord-ovest,Piemonte,VC
Salasco,Nord-ovest,Piemonte,VC
Sali Vercellese,Nord-ovest,Piemonte,VC
Saluggia,Nord-ovest,Piemonte,VC
San Germano Vercellese,Nord-ovest,Piemonte,VC
Santhià,Nord-ovest,Piemonte,VC
Scopa,Nord-ovest,Piemonte,VC
Scopello,Nord-ovest,Piemonte,VC
Serravalle Sesia,Nord-ovest,Piemonte,VC
Stroppiana,Nord-ovest,Piemonte,VC
Tricerro,Nord-ovest,Piemonte,VC
Trino,Nord-ovest,Piemonte,VC
Tronzano Vercellese,Nord-ovest,Piemonte,VC
Valduggia,Nord-ovest,Piemonte,VC
Varallo,Nord-ovest,Piemonte,VC
Vercelli,Nord-ovest,Piemonte,VC
Villarboit,Nord-ovest,Piemonte,VC
Villata,Nord-ovest,Piemonte,VC
Vocca,Nord-ovest,Piemonte,VC
Alto Sermenza,Nord-ovest,Piemonte,VC
Cellio con Breia,Nord-ovest,Piemonte,VC
Agrate Conturbia,Nord-ovest,Piemonte,NO
Ameno,Nord-ovest,Piemonte,NO
Armeno,Nord-ovest,Piemonte,NO
Arona,Nord-ovest,Piemonte,NO
Barengo,Nord-ovest,Piemonte,NO
Bellinzago Novarese,Nord-ovest,Piemonte,NO
Biandrate,Nord-ovest,Piemonte,NO
Boca,Nord-ovest,Piemonte,NO
Bogogno,Nord-ovest,Piemonte,NO
Bolzano Novarese,Nord-ovest,Piemonte,NO
Borgolavezzaro,Nord-ovest,Piemonte,NO
Borgomanero,Nord-ovest,Piemonte,NO
Borgo Ticino,Nord-ovest,Piemonte,NO
Briga Novarese,Nord-ovest,Piemonte,NO
Briona,Nord-ovest,Piemonte,NO
Caltignaga,Nord-ovest,Piemonte,NO
Cameri,Nord-ovest,Piemonte,NO
Carpignano Sesia,Nord-ovest,Piemonte,NO
Casalbeltrame,Nord-ovest,Piemonte,NO
Casaleggio Novara,Nord-ovest,Piemonte,NO
Casalino,Nord-ovest,Piemonte,NO
Casalvolone,Nord-ovest,Piemonte,NO
Castellazzo Novarese,Nord-ovest,Piemonte,NO
Castelletto sopra Ticino,Nord-ovest,Piemonte,NO
Cavaglietto,Nord-ovest,Piemonte,NO
Cavaglio d'Agogna,Nord-ovest,Piemonte,NO
Cavallirio,Nord-ovest,Piemonte,NO
Cerano,Nord-ovest,Piemonte,NO
Colazza,Nord-ovest,Piemonte,NO
Comignago,Nord-ovest,Piemonte,NO
Cressa,Nord-ovest,Piemonte,NO
Cureggio,Nord-ovest,Piemonte,NO
Divignano,Nord-ovest,Piemonte,NO
Dormelletto,Nord-ovest,Piemonte,NO
Fara Novarese,Nord-ovest,Piemonte,NO
Fontaneto d'Agogna,Nord-ovest,Piemonte,NO
Galliate,Nord-ovest,Piemonte,NO
Garbagna Novarese,Nord-ovest,Piemonte,NO
Gargallo,Nord-ovest,Piemonte,NO
Ghemme,Nord-ovest,Piemonte,NO
Gozzano,Nord-ovest,Piemonte,NO
Granozzo con Monticello,Nord-ovest,Piemonte,NO
Grignasco,Nord-ovest,Piemonte,NO
Invorio,Nord-ovest,Piemonte,NO
Landiona,Nord-ovest,Piemonte,NO
Lesa,Nord-ovest,Piemonte,NO
Maggiora,Nord-ovest,Piemonte,NO
Mandello Vitta,Nord-ovest,Piemonte,NO
Marano Ticino,Nord-ovest,Piemonte,NO
Massino Visconti,Nord-ovest,Piemonte,NO
Meina,Nord-ovest,Piemonte,NO
Mezzomerico,Nord-ovest,Piemonte,NO
Miasino,Nord-ovest,Piemonte,NO
Momo,Nord-ovest,Piemonte,NO
Nebbiuno,Nord-ovest,Piemonte,NO
Nibbiola,Nord-ovest,Piemonte,NO
Novara,Nord-ovest,Piemonte,NO
Oleggio,Nord-ovest,Piemonte,NO
Oleggio Castello,Nord-ovest,Piemonte,NO
Orta San Giulio,Nord-ovest,Piemonte,NO
Paruzzaro,Nord-ovest,Piemonte,NO
Pella,Nord-ovest,Piemonte,NO
Pettenasco,Nord-ovest,Piemonte,NO
Pisano,Nord-ovest,Piemonte,NO
Pogno,Nord-ovest,Piemonte,NO
Pombia,Nord-ovest,Piemonte,NO
Prato Sesia,Nord-ovest,Piemonte,NO
Recetto,Nord-ovest,Piemonte,NO
Romagnano Sesia,Nord-ovest,Piemonte,NO
Romentino,Nord-ovest,Piemonte,NO
San Maurizio d'Opaglio,Nord-ovest,Piemonte,NO
San Nazzaro Sesia,Nord-ovest,Piemonte,NO
San Pietro Mosezzo,Nord-ovest,Piemonte,NO
Sillavengo,Nord-ovest,Piemonte,NO
Sizzano,Nord-ovest,Piemonte,NO
Soriso,Nord-ovest,Piemonte,NO
Sozzago,Nord-ovest,Piemonte,NO
Suno,Nord-ovest,Piemonte,NO
Terdobbiate,Nord-ovest,Piemonte,NO
Tornaco,Nord-ovest,Piemonte,NO
Trecate,Nord-ovest,Piemonte,NO
Vaprio d'Agogna,Nord-ovest,Piemonte,NO
Varallo Pombia,Nord-ovest,Piemonte,NO
Vespolate,Nord-ovest,Piemonte,NO
Vicolungo,Nord-ovest,Piemonte,NO
Vinzaglio,Nord-ovest,Piemonte,NO
Gattico-Veruno,Nord-ovest,Piemonte,NO
Acceglio,Nord-ovest,Piemonte,CN
Aisone,Nord-ovest,Piemonte,CN
Alba,Nord-ovest,Piemonte,CN
Albaretto della Torre,Nord-ovest,Piemonte,CN
Alto,Nord-ovest,Piemonte,CN
Argentera,Nord-ovest,Piemonte,CN
Arguello,Nord-ovest,Piemonte,CN
Bagnasco,Nord-ovest,Piemonte,CN
Bagnolo Piemonte,Nord-ovest,Piemonte,CN
Baldissero d'Alba,Nord-ovest,Piemonte,CN
Barbaresco,Nord-ovest,Piemonte,CN
Barge,Nord-ovest,Piemonte,CN
Barolo,Nord-ovest,Piemonte,CN
Bastia Mondovì,Nord-ovest,Piemonte,CN
Battifollo,Nord-ovest,Piemonte,CN
Beinette,Nord-ovest,Piemonte,CN
Bellino,Nord-ovest,Piemonte,CN
Belvedere Langhe,Nord-ovest,Piemonte,CN
Bene Vagienna,Nord-ovest,Piemonte,CN
Benevello,Nord-ovest,Piemonte,CN
Bergolo,Nord-ovest,Piemonte,CN
Bernezzo,Nord-ovest,Piemonte,CN
Bonvicino,Nord-ovest,Piemonte,CN
Borgomale,Nord-ovest,Piemonte,CN
Borgo San Dalmazzo,Nord-ovest,Piemonte,CN
Bosia,Nord-ovest,Piemonte,CN
Bossolasco,Nord-ovest,Piemonte,CN
Boves,Nord-ovest,Piemonte,CN
Bra,Nord-ovest,Piemonte,CN
Briaglia,Nord-ovest,Piemonte,CN
Briga Alta,Nord-ovest,Piemonte,CN
Brondello,Nord-ovest,Piemonte,CN
Brossasco,Nord-ovest,Piemonte,CN
Busca,Nord-ovest,Piemonte,CN
Camerana,Nord-ovest,Piemonte,CN
Canale,Nord-ovest,Piemonte,CN
Canosio,Nord-ovest,Piemonte,CN
Caprauna,Nord-ovest,Piemonte,CN
Caraglio,Nord-ovest,Piemonte,CN
Caramagna Piemonte,Nord-ovest,Piemonte,CN
Cardè,Nord-ovest,Piemonte,CN
Carrù,Nord-ovest,Piemonte,CN
Cartignano,Nord-ovest,Piemonte,CN
Casalgrasso,Nord-ovest,Piemonte,CN
Castagnito,Nord-ovest,Piemonte,CN
Casteldelfino,Nord-ovest,Piemonte,CN
Castelletto Stura,Nord-ovest,Piemonte,CN
Castelletto Uzzone,Nord-ovest,Piemonte,CN
Castellinaldo d'Alba,Nord-ovest,Piemonte,CN
Castellino Tanaro,Nord-ovest,Piemonte,CN
Castelmagno,Nord-ovest,Piemonte,CN
Castelnuovo di Ceva,Nord-ovest,Piemonte,CN
Castiglione Falletto,Nord-ovest,Piemonte,CN
Castiglione Tinella,Nord-ovest,Piemonte,CN
Castino,Nord-ovest,Piemonte,CN
Cavallerleone,Nord-ovest,Piemonte,CN
Cavallermaggiore,Nord-ovest,Piemonte,CN
Celle di Macra,Nord-ovest,Piemonte,CN
Centallo,Nord-ovest,Piemonte,CN
Ceresole Alba,Nord-ovest,Piemonte,CN
Cerretto Langhe,Nord-ovest,Piemonte,CN
Cervasca,Nord-ovest,Piemonte,CN
Cervere,Nord-ovest,Piemonte,CN
Ceva,Nord-ovest,Piemonte,CN
Cherasco,Nord-ovest,Piemonte,CN
Chiusa di Pesio,Nord-ovest,Piemonte,CN
Cigliè,Nord-ovest,Piemonte,CN
Cissone,Nord-ovest,Piemonte,CN
Clavesana,Nord-ovest,Piemonte,CN
Corneliano d'Alba,Nord-ovest,Piemonte,CN
Cortemilia,Nord-ovest,Piemonte,CN
Cossano Belbo,Nord-ovest,Piemonte,CN
Costigliole Saluzzo,Nord-ovest,Piemonte,CN
Cravanzana,Nord-ovest,Piemonte,CN
Crissolo,Nord-ovest,Piemonte,CN
Cuneo,Nord-ovest,Piemonte,CN
Demonte,Nord-ovest,Piemonte,CN
Diano d'Alba,Nord-ovest,Piemonte,CN
Dogliani,Nord-ovest,Piemonte,CN
Dronero,Nord-ovest,Piemonte,CN
Elva,Nord-ovest,Piemonte,CN
Entracque,Nord-ovest,Piemonte,CN
Envie,Nord-ovest,Piemonte,CN
Farigliano,Nord-ovest,Piemonte,CN
Faule,Nord-ovest,Piemonte,CN
Feisoglio,Nord-ovest,Piemonte,CN
Fossano,Nord-ovest,Piemonte,CN
Frabosa Soprana,Nord-ovest,Piemonte,CN
Frabosa Sottana,Nord-ovest,Piemonte,CN
Frassino,Nord-ovest,Piemonte,CN
Gaiola,Nord-ovest,Piemonte,CN
Gambasca,Nord-ovest,Piemonte,CN
Garessio,Nord-ovest,Piemonte,CN
Genola,Nord-ovest,Piemonte,CN
Gorzegno,Nord-ovest,Piemonte,CN
Gottasecca,Nord-ovest,Piemonte,CN
Govone,Nord-ovest,Piemonte,CN
Grinzane Cavour,Nord-ovest,Piemonte,CN
Guarene,Nord-ovest,Piemonte,CN
Igliano,Nord-ovest,Piemonte,CN
Isasca,Nord-ovest,Piemonte,CN
Lagnasco,Nord-ovest,Piemonte,CN
La Morra,Nord-ovest,Piemonte,CN
